0.1	0.099
0.102	0.073
0.104	0.09
0.106	0.18
0.108	0.352
0.11	0.269
0.112	0.205
0.114	0.123
0.116	0.084
0.118	0.085
0.12	0.144
0.122	0.242
0.124	0.341
0.126	0.26
0.128	0.194
0.13	0.125
0.132	0.093
0.134	0.081
0.136	0.12
0.138	0.18
0.14	0.315
0.142	0.3
0.144	0.195
0.146	0.16
0.148	0.096
0.15	0.09
0.152	0.132
0.154	0.278
0.156	0.285
0.158	0.165
0.16	0.14
0.162	0.091
0.164	0.085
0.166	0.112
0.168	0.199
0.17	0.21
0.172	0.339
0.174	0.252
0.176	0.175
0.178	0.132
0.18	0.09
0.182	0.092
0.184	0.133
0.186	0.24
0.188	0.355
0.19	0.227
0.192	0.155
0.194	0.13
0.196	0.084
0.198	0.095
0.2	0.138

