0.024	0.39
0.026	0.321
0.028	0.191
0.03	0.13
0.032	0.033
0.034	0
0.036	0.024
0.038	0.172
0.04	0.318
0.042	0.401
0.044	0.33
0.046	0.22
0.048	0.188
0.05	0.013
0.052	0
0.054	0.024
0.056	0.103
0.058	0.398
0.06	0.416
0.062	0.31
0.064	0.222
0.066	0.042
0.068	0
0.07	0.06
0.072	0.2
0.074	0.389
0.076	0.4
0.078	0.341
0.08	0.211
0.082	0.055
0.084	0.011
0.086	0.012
0.088	0.067
0.09	0.435
0.092	0.4
0.094	0.248
0.096	0.175
0.098	0.07
0.1	0.03
0.102	0.02
0.104	0.125
0.106	0.329
0.108	0.44
0.11	0.4
0.112	0.212
0.114	0.07
0.116	0.02
0.118	0.113
0.12	0.27
0.122	0.33
0.124	0.43
0.126	0.35
0.128	0.205
0.13	0.033
0.132	0.006
0.134	0.075
0.136	0.185
0.138	0.35
0.14	0.402
0.142	0.29
0.144	0.171
0.146	0.03
0.148	0.008
0.15	0.092
0.152	0.26
0.154	0.365
0.156	0.425
0.158	0.28
0.16	0.156
0.162	0.042
0.164	0.005
0.166	0.06
0.168	0.222
0.17	0.389
0.172	0.43
0.174	0.345
0.176	0.11
0.178	0.01
0.18	0.022
0.182	0.102
0.184	0.3
0.186	0.337
0.188	0.253
0.19	0.121
0.192	0.003
0.194	0.142

