0	0.22
0.002	0.17
0.004	0.61
0.006	0.98
0.008	1.14
0.01	1.14
0.012	1.06
0.014	0.73
0.016	0.23
0.018	0.25
0.02	0.63
0.022	0.97
0.024	1.22
0.026	1.23
0.028	1.07
0.03	0.6
0.032	0.16
0.034	0.34
0.036	0.71
0.038	1.08
0.04	1.32
0.042	1.34
0.044	1.18
0.046	0.75
0.048	0.22
0.05	0.1
0.052	0.51
0.054	0.84
0.056	1.15
0.058	1.21
0.06	1.05
0.062	0.6
0.064	0.08
0.066	0.11
0.068	0.41
0.07	0.82
0.072	1.12
0.074	1.23
0.076	1
0.078	0.61
0.08	0.12
0.082	0.14
0.084	0.43
0.086	0.96
0.088	1.12
0.09	1.22
0.092	1.11
0.094	0.6
0.096	0.12
0.098	0.1
0.1	0.44
